"","res","",""
"1","2","3","000"
"2","2","4","000"
"3","2","6","000"
"4","2","6","111111"
"5","2","5","00000"
"6","2","12","111111101111"
"7","2","12","111111110011"
"8","2","12","111111111111"
"9","2","12","111110011111"
"10","2","12","111111111111"
"11","2","10","1111111111"
"12","2","8","11111101"
"13","2","8","11111111"
"14","2","9","011111111"
"15","2","9","111111111"
"16","2","10","1111111111"
"17","2","11","11111111111"
"18","2","5","10000"
"19","2","7","1101111"
"20","2","8","11111111"
"21","2","5","11111"
"22","3","8","01110111"
"23","3","5","00000"
"24","3","4","1101"
"25","3","3","111"
"26","4","3","111"
"27","4","3","111"
"28","4","4","1111"
"29","4","6","111111"
"30","4","7","1111111"
"31","4","7","1111111"
"32","4","7","1111110"
"33","4","7","1111101"
"34","4","4","1111"
"35","5","4","00"
"36","5","4","00"
"37","5","10","1010111111"
"38","5","5","00000"
"39","5","5","11100"
"40","5","5","11111"
"41","5","3","000"
"42","5","7","0110111"
"43","5","8","11101110"
"44","5","6","101111"
"45","5","3","111"
"46","5","3","110"
"47","5","3","111"
"48","5","5","11011"
"49","6","3","11"
"50","6","7","0111111"
"51","6","6","111111"
"52","6","6","111111"
"53","6","8","01111000"
"54","6","5","10001"
"55","6","10","1111111111"
"56","6","10","0000000000"
"57","6","7","1101111"
"58","6","7","1101111"
"59","6","11","11101111101"
"60","6","3","000"
"61","7","6","1"
"62","7","6","1"
"63","7","8","11111111"
"64","7","7","1101111"
"65","7","5","11111"
"66","7","7","1111111"
"67","7","9","111111111"
"68","7","11","11111111111"
"69","7","11","11101111111"
"70","7","9","111111100"
"71","7","9","111011011"
"72","7","5","00000"
"73","7","9","011101111"
"74","7","9","101101111"
"75","7","8","11111111"
"76","8","6","1101111"
"77","8","6","111111"
"78","8","6","111111"
"79","8","7","1111111"
"80","8","6","111111"
"81","8","6","111111"
"82","8","8","11111111"
"83","8","7","1111111"
"84","8","6","111101"
"85","8","7","1111111"
"86","8","7","1111111"
"87","8","7","1111111"
"88","8","4","0000"
"89","8","4","0000"
"90","8","6","111111"
"91","8","5","00000"
"92","8","3","111"
"93","9","3","1"
"94","9","7","1101111"
"95","9","6","111111"
"96","9","10","1111011110"
"97","9","7","0111111"
"98","9","8","11111111"
"99","9","10","1111111111"
"100","9","8","11111111"
"101","9","3","111"
"102","9","3","111"
"103","9","6","111111"
"104","9","4","1100"
"105","10","4","1010"
"106","10","6","111111"
"107","10","8","11111111"
"108","10","6","111011"
"109","10","9","110000111"
"110","10","6","111111"
"111","10","6","000111"
"112","10","4","0000"
"113","11","4","1111"
"114","11","5","11111"
"115","11","4","1111"
"116","11","6","111111"
"117","11","5","11111"
"118","11","3","111"
"119","11","7","1111111"
"120","11","3","000"
"121","11","7","1111111"
"122","11","6","111111"
"123","11","6","111111"
"124","11","6","111111"
"125","12","4","11111"
"126","12","5","00000"
"127","12","5","11101"
"128","12","6","111111"
"129","12","10","1111111111"
"130","12","5","00000"
"131","12","5","00000"
"132","12","4","1111"
"133","13","6","111111"
"134","13","3","000"
"135","13","5","11111"
"136","13","3","000"
"137","13","6","111111"
"138","13","4","0000"
"139","13","6","111111"
"140","13","6","111111"
"141","14","8","111111"
"142","14","7","1111111"
"143","14","6","111111"
"144","14","6","110111"
"145","14","6","111111"
"146","14","6","000000"
"147","14","5","11111"
"148","14","5","11011"
"149","14","5","10111"
"150","15","5","11111"
"151","15","5","11111"
"152","15","3","001"
"153","15","4","0011"
"154","15","6","111111"
"155","16","6","111111"
"156","16","5","11111"
"157","16","3","111"
"158","16","3","000"
"159","16","5","11111"
"160","16","4","1111"
"161","17","3","11"
"162","17","5","11"
"163","17","5","11"
"164","17","6","11"
"165","17","7","11"
"166","17","6","111111"
"167","17","4","1111"
"168","17","3","111"
"169","17","3","111"
"170","18","3","0"
"171","18","3","0"
"172","18","3","111"
"173","18","6","111111"
"174","18","5","11001"
"175","18","5","11111"
"176","18","4","1111"
"177","18","4","1111"
"178","18","3","111"
"179","19","3","1"
"180","19","4","1111"
"181","19","9","111110111"
"182","19","7","1111111"
"183","19","4","0000"
"184","19","6","000000"
"185","19","8","11111111"
"186","19","6","000000"
"187","19","5","11111"
"188","19","5","11101"
"189","19","5","11101"
"190","20","3","1"
"191","20","5","1"
"192","20","5","1"
"193","20","5","1"
"194","20","5","00000"
"195","20","5","11111"
"196","20","6","111111"
"197","20","6","111111"
"198","20","4","0000"
"199","20","7","1111110"
"200","20","6","010011"
"201","20","8","11111111"
"202","20","5","00000"
"203","20","6","111111"
"204","20","4","1111"
"205","20","5","11111"
"206","20","4","1111"
"207","20","6","011111"
"208","20","6","111111"
"209","21","4","1"
