"","x"
"1",0.052734375
"2",0.052734375
"3",0.052734375
"4",0.0596046447753906
"5",0.007415771484375
"6",0.0021316282072803
"7",0.00127897692436818
"8",0.00355271367880049
"9",0.00127897692436818
"10",0.00355271367880049
"11",0.00909494701772927
"12",0.0139698386192322
"13",0.0232830643653869
"14",0.0087311491370201
"15",0.0145519152283668
"16",0.00909494701772927
"17",0.00568434188608079
"18",0.012359619140625
"19",0.0223517417907715
"20",0.0232830643653869
"21",0.0953674316406249
"22",0.00746496000000001
"23",0.01024
"24",0.0864
"25",0.216
"26",0.125
"27",0.125
"28",0.0625
"29",0.015625
"30",0.0078125
"31",0.0078125
"32",0.0078125
"33",0.0078125
"34",0.0625
"35",0.25
"36",0.25
"37",0.0009765625
"38",0.03125
"39",0.03125
"40",0.03125
"41",0.125
"42",0.0078125
"43",0.00390625
"44",0.015625
"45",0.125
"46",0.125
"47",0.125
"48",0.03125
"49",0.25
"50",0.0078125
"51",0.015625
"52",0.015625
"53",0.00390625
"54",0.03125
"55",0.0009765625
"56",0.0009765625
"57",0.0078125
"58",0.0078125
"59",0.00048828125
"60",0.125
"61",0.5
"62",0.5
"63",0.00390625
"64",0.0078125
"65",0.03125
"66",0.0078125
"67",0.001953125
"68",0.00048828125
"69",0.00048828125
"70",0.001953125
"71",0.001953125
"72",0.03125
"73",0.001953125
"74",0.001953125
"75",0.00390625
"76",0.0078125
"77",0.015625
"78",0.015625
"79",0.0078125
"80",0.015625
"81",0.015625
"82",0.00390625
"83",0.0078125
"84",0.015625
"85",0.0078125
"86",0.0078125
"87",0.0078125
"88",0.0625
"89",0.0625
"90",0.015625
"91",0.03125
"92",0.125
"93",0.5
"94",0.0078125
"95",0.015625
"96",0.0009765625
"97",0.0078125
"98",0.00390625
"99",0.0009765625
"100",0.00390625
"101",0.125
"102",0.125
"103",0.015625
"104",0.0625
"105",0.0625
"106",0.015625
"107",0.00390625
"108",0.015625
"109",0.001953125
"110",0.015625
"111",0.015625
"112",0.0625
"113",0.1296
"114",0.0777600000000001
"115",0.1296
"116",0.046656
"117",0.0777600000000001
"118",0.216
"119",0.0279936
"120",0.064
"121",0.0279936
"122",0.046656
"123",0.046656
"124",0.046656
"125",0.0777600000000001
"126",0.01024
"127",0.05184
"128",0.046656
"129",0.00604661760000001
"130",0.01024
"131",0.01024
"132",0.1296
"133",0.015625
"134",0.125
"135",0.03125
"136",0.125
"137",0.015625
"138",0.0625
"139",0.015625
"140",0.015625
"141",0.015625
"142",0.0078125
"143",0.015625
"144",0.015625
"145",0.015625
"146",0.015625
"147",0.03125
"148",0.03125
"149",0.03125
"150",0.0777600000000001
"151",0.0777600000000001
"152",0.096
"153",0.0576
"154",0.046656
"155",0.015625
"156",0.03125
"157",0.125
"158",0.125
"159",0.03125
"160",0.0625
"161",0.25
"162",0.25
"163",0.25
"164",0.25
"165",0.25
"166",0.015625
"167",0.0625
"168",0.125
"169",0.125
"170",0.5
"171",0.5
"172",0.125
"173",0.015625
"174",0.03125
"175",0.03125
"176",0.0625
"177",0.0625
"178",0.125
"179",0.5
"180",0.0625
"181",0.001953125
"182",0.0078125
"183",0.0625
"184",0.015625
"185",0.00390625
"186",0.015625
"187",0.03125
"188",0.03125
"189",0.03125
"190",0.5
"191",0.5
"192",0.5
"193",0.5
"194",0.03125
"195",0.03125
"196",0.015625
"197",0.015625
"198",0.0625
"199",0.0078125
"200",0.015625
"201",0.00390625
"202",0.03125
"203",0.015625
"204",0.0625
"205",0.03125
"206",0.0625
"207",0.015625
"208",0.015625
"209",0.5
"210",0.0078125
"211",0.0625
"212",0.125
"213",0.5
"214",0.125
"215",0.125
"216",0.125
"217",0.03125
"218",0.125
"219",0.0001048576
"220",0.031104
"221",0.0279936
"222",0.031104
"223",0.25
"224",0.0625
"225",0.015625
"226",0.03125
"227",0.0625
"228",0.0625
"229",0.1296
"230",0.1296
"231",0.1296
"232",0.0777600000000001
"233",0.064
"234",0.216
"235",0.326530612244898
"236",0.326530612244898
"237",0.00649617269653244
"238",0.0149208966623479
"239",0.00649617269653244
"240",0.00852622666419883
"241",0.0113683022189318
"242",0.00852622666419883
